Time Range,Flag,Geartype,Vessel IDs,Vessel Presence Hours
2024-02-17,IRN,,7,94.00
2024-02-06,KNA,,3,52.00
2024-02-19,LUX,,5,100.00
2024-02-24,LUX,,5,101.00
2024-02-07,LUX,,3,72.00
2024-02-03,MDA,,1,3.00
2024-02-07,MLT,,59,815.00
2024-02-17,NIU,,3,47.00
2024-02-11,NLD,,16,288.00
2024-02-16,NOR,,18,247.00
2024-02-01,PLW,,8,165.00
2024-02-25,PRT,,18,242.00
2024-02-08,TWN,,12,177.00
2024-02-26,SMR,,1,24.00
2024-02-18,KHM,,1,4.00
2024-02-15,DNK,,17,222.00
2024-02-04,GRC,,29,467.00
2024-02-11,VNM,,66,1109.00
2024-02-11,PRT,,20,267.00
2024-02-12,CYP,,32,451.00
2024-02-11,TWN,,11,148.00
2024-02-11,COK,,4,66.00
2024-02-10,IND,,7,126.00
2024-02-08,BES,,3,49.00
2024-02-01,GBR,,39,543.00
2024-02-22,NLD,,14,304.00
2024-02-02,COK,,6,93.00
2024-02-25,KNA,,3,57.00
2024-02-22,KIR,,2,43.00
2024-02-13,KIR,,1,24.00
2024-03-04,PAN,,438,7039.00
2024-03-01,HKG,,172,2573.00
2024-03-01,IDN,,5650,75255.00
2024-03-05,CYP,,32,505.00
2024-03-03,CYP,,37,510.00
2024-03-05,GBR,,37,493.00
2024-03-03,AUS,,6,40.00
2024-03-05,HKG,,182,3099.00
2024-02-05,SLE,,14,195.00
2024-02-07,BGD,,13,235.00
2024-02-23,GAB,,2,47.00
2024-02-19,BLZ,,26,481.00
2024-02-12,BGD,,10,194.00
2024-03-05,CHN,,129,2106.00
2024-03-01,NOR,,17,265.00
2024-03-01,PAN,,425,6655.00
2024-03-03,CHN,,126,2187.00
2024-03-03,PAN,,419,6791.00
2024-03-04,LBR,,292,4827.00
2024-03-05,PAN,,434,7180.00
2024-03-01,CYP,,30,433.00
2024-03-03,LBR,,295,4762.00
2024-03-02,HKG,,184,2853.00
2024-03-04,CYP,,35,537.00
2024-03-02,BEL,,4,13.00
2024-03-05,PRT,,21,351.00
2024-03-05,THA,,17,209.00
2024-03-05,JPN,,30,453.00
2024-03-04,JPN,,34,522.00
2024-03-02,KOR,,33,492.00
2024-03-02,PRT,,21,378.00
2024-03-01,BGD,,12,208.00
2024-03-03,IRN,,4,45.00
2024-03-01,LUX,,6,121.00
2024-03-03,GRC,,37,540.00
2024-03-02,CHN,,128,2154.00
2024-03-05,SAU,,6,25.00
2024-03-01,FRO,,13,81.00
2024-03-03,PRT,,20,396.00
2024-02-17,NZL,,1,3.00
2024-02-14,GRC,,21,268.00
2024-02-13,PRT,,22,310.00
2024-02-23,AUS,,5,82.00
2024-02-10,NZL,,2,20.00
2024-02-16,JPN,,32,445.00
2024-02-05,AUS,,12,123.00
2024-02-01,CYP,,33,455.00
2024-02-15,BHS,,42,686.00
2024-02-19,CYP,,31,462.00
2024-02-07,JOR,,2,25.00
2024-02-02,DNK,,23,227.00
2024-03-02,BHS,,44,610.00
2024-03-03,NLD,,11,176.00
2024-03-05,ALB,,1,12.00
2024-03-06,MLT,,50,833.00
2024-03-06,ATG,,5,83.00
2024-03-06,ITA,,3,34.00
2024-03-06,MHL,,224,3406.00
2024-03-07,MLT,,64,964.00
2024-03-06,DEU,,2,23.00
