Time Range,Flag,Geartype,Vessel IDs,Vessel Presence Hours
2024-02-03,MYS,,106,1291.00
2024-02-20,NPL,,1,16.00
2024-02-20,TUV,,11,159.00
2024-02-02,FRO,,10,74.00
2024-02-20,COK,,4,58.00
2024-02-05,CYP,,33,409.00
2024-02-07,TZA,,4,29.00
2024-02-14,DJI,,1,14.00
2024-02-25,BMU,,7,114.00
2024-02-15,FRA,,3,52.00
2024-02-19,COK,,7,95.00
2024-02-14,GAB,,4,75.00
2024-02-09,STP,,1,12.00
2024-02-06,FRA,,5,52.00
2024-02-14,PHL,,3,53.00
2024-02-17,BGD,,15,243.00
2024-02-11,BES,,1,1.00
2024-02-09,KWT,,4,63.00
2024-02-08,LBY,,1,3.00
2024-02-21,NLD,,14,268.00
2024-02-21,PLW,,6,101.00
2024-02-11,SAU,,7,67.00
2024-02-11,LKA,,2,30.00
2024-02-12,SAU,,7,106.00
2024-02-07,IND,,9,118.00
2024-02-24,QAT,,1,10.00
2024-02-28,HKG,,171,2515.00
2024-02-29,CYM,,6,98.00
2024-02-27,IND,,6,77.00
2024-02-28,CHE,,1,16.00
2024-02-28,BEL,,3,60.00
2024-02-27,NOR,,11,141.00
2024-02-27,STP,,2,9.00
2024-02-27,KNA,,3,72.00
2024-02-28,KNA,,4,73.00
2024-02-29,MUS,,1,24.00
2024-02-28,GAB,,4,72.00
2024-02-26,GAB,,3,64.00
2024-02-28,PAK,,1,1.00
2024-02-16,DEU,,3,44.00
2024-02-21,GIB,,1,19.00
2024-02-22,GIB,,1,22.00
2024-02-03,GNQ,,2,48.00
2024-02-09,HRV,,1,1.00
2024-02-10,KAZ,,1,1.00
2024-02-05,LBY,,1,1.00
2024-02-03,MUS,,2,32.00
2024-02-26,ITA,,1,23.00
2024-02-16,KIR,,2,48.00
2024-02-13,ERI,,2,34.00
2024-03-03,KNA,,4,77.00
2024-02-21,SLE,,12,168.00
2024-02-03,SLE,,12,131.00
2024-03-01,NIU,,7,61.00
2024-03-04,DEU,,4,52.00
2024-03-05,GNQ,,2,48.00
2024-03-01,CPV,,5,28.00
2024-02-21,ITA,,1,22.00
2024-02-08,ALB,,1,24.00
2024-02-23,COK,,4,63.00
2024-02-21,LSO,,1,13.00
2024-03-07,HKG,,195,3117.00
2024-03-01,PNG,,1,2.00
2024-03-07,CPV,,8,87.00
2024-03-06,NOR,,18,260.00
2024-03-07,PHL,,11,143.00
2024-03-06,BGR,,1,7.00
2024-03-08,PLW,,5,79.00
2024-02-12,IDN,,5380,76988.00
2024-02-24,MHL,,258,4111.00
2024-02-24,GBR,,30,375.00
2024-02-02,SGP,,324,4434.00
2024-02-21,NPL,,1,15.00
2024-02-10,PRT,,19,283.00
2024-02-14,SLE,,9,116.00
2024-02-13,SLE,,10,110.00
2024-02-22,BGD,,19,286.00
2024-02-15,NLD,,10,194.00
2024-02-23,BRB,,7,142.00
2024-02-05,CYM,,9,166.00
2024-02-18,PAK,,1,9.00
2024-02-01,SAU,,6,70.00
2024-02-25,USA,,11,142.00
2024-02-19,BGR,,1,8.00
2024-02-22,HRV,,2,26.00
2024-02-03,KNA,,3,72.00
2024-02-06,SWZ,,1,10.00
2024-02-12,BRN,,1,5.00
2024-02-19,GEO,,1,1.00
2024-02-21,FRA,,4,43.00
2024-02-27,LBR,,296,4086.00
2024-02-28,NOR,,11,167.00
2024-02-29,SWE,,2,33.00
2024-02-29,ALB,,2,6.00
2024-02-18,BES,,1,2.00
2024-02-21,LKA,,1,24.00
2024-02-19,NOR,,11,206.00
2024-02-25,RUS,,1,19.00
2024-02-13,TON,,1,1.00
2024-02-21,USA,,7,91.00
2024-02-11,VUT,,1,12.00
2024-02-14,ERI,,2,23.00
2024-03-02,BLZ,,26,491.00
2024-03-03,NOR,,20,297.00
2024-02-20,LIE,,1,11.00
2024-02-08,LIE,,1,24.00
2024-03-02,CMR,,4,81.00
2024-03-04,PLW,,3,56.00
2024-03-05,CPV,,8,56.00
2024-02-04,TZA,,6,78.00
2024-02-01,TUR,,1,24.00
2024-02-06,ALB,,1,24.00
2024-02-20,JOR,,1,24.00
2024-03-03,GAB,,3,72.00
2024-03-01,ERI,,1,24.00
2024-03-01,KWT,,2,21.00
2024-03-04,FJI,,2,11.00
2024-03-07,AUS,,9,83.00
2024-03-07,DEU,,2,37.00
2024-03-07,GUY,,1,13.00
2024-03-08,,,1057,5859.00
2024-03-08,CMR,,1,23.00
2024-03-08,GBR,,25,347.00
2024-03-08,JAM,,1,10.00
2024-02-20,MDV,,1,13.00
2024-02-12,JPN,,35,570.00
2024-02-22,CHN,,149,2499.00
2024-02-09,CPV,,3,35.00
2024-02-24,SOM,,1,5.00
2024-02-17,PAN,,480,7768.00
2024-02-13,ESP,,1,3.00
2024-02-03,POL,,1,3.00
2024-02-24,NPL,,1,21.00
2024-02-18,CPV,,3,22.00
2024-02-11,BEL,,5,70.00
2024-02-21,MLT,,68,966.00
2024-02-05,LVA,,1,18.00
2024-02-21,IND,,7,115.00
2024-02-09,BIH,,1,1.00
2024-02-22,SLE,,9,138.00
2024-02-14,PNG,,1,20.00
2024-02-17,COK,,5,103.00
2024-02-16,DMA,,2,15.00
2024-02-16,GAB,,4,89.00
2024-02-23,KNA,,3,53.00
2024-02-06,STP,,1,14.00
2024-02-03,ITA,,3,42.00
2024-02-08,ATG,,15,199.00
2024-02-06,PHL,,9,155.00
2024-02-29,BRB,,2,12.00
2024-02-26,NPL,,1,13.00
2024-02-26,BRA,,1,3.00
2024-02-27,COK,,3,53.00
2024-02-24,EGY,,1,8.00
2024-02-07,IRN,,11,109.00
2024-02-24,PHL,,11,186.00
2024-02-19,SLE,,9,102.00
2024-02-18,TGO,,3,44.00
2024-02-20,USA,,6,88.00
2024-02-16,ATG,,5,40.00
2024-02-22,VUT,,2,45.00
2024-02-07,KIR,,2,19.00
2024-02-14,BES,,1,13.00
2024-03-01,GBR,,31,443.00
2024-03-03,BRA,,1,14.00
2024-02-22,USA,,8,82.00
2024-02-19,JOR,,1,24.00
2024-03-03,SMR,,1,13.00
2024-03-08,NZL,,1,1.00
2024-02-20,PAN,,462,7503.00
2024-02-06,FRO,,11,80.00
2024-02-06,PAN,,482,7480.00
2024-02-08,CPV,,5,51.00
2024-02-16,ESP,,2,26.00
2024-02-14,FRA,,6,55.00
2024-02-04,BLZ,,24,417.00
2024-02-18,DEU,,4,69.00
2024-02-07,NIU,,3,35.00
2024-02-03,TZA,,10,122.00
2024-02-18,BRN,,2,28.00
2024-02-20,ZAF,,2,22.00
2024-02-01,AUS,,15,146.00
2024-02-13,BGD,,9,182.00
2024-02-08,CMR,,4,46.00
2024-02-21,COM,,1,16.00
2024-02-18,FRA,,3,37.00
2024-02-03,SMR,,1,24.00
2024-02-08,ZAF,,1,24.00
2024-02-14,TUV,,8,103.00
2024-02-22,ZAF,,1,21.00
2024-02-10,URY,,4,8.00
2024-02-26,TWN,,11,156.00
2024-02-27,BES,,1,24.00
2024-02-26,BRB,,3,35.00
2024-02-28,KHM,,1,8.00
2024-02-08,BOL,,1,13.00
2024-02-23,GNQ,,2,48.00
2024-02-01,MUS,,1,24.00
2024-02-05,TGO,,1,17.00
2024-02-13,BRA,,2,9.00
2024-02-20,ITA,,2,25.00
2024-03-04,SWE,,1,5.00
2024-03-04,BGD,,10,171.00
2024-03-04,SYC,,1,11.00
2024-02-14,RUS,,1,24.00
2024-02-14,QAT,,1,22.00
2024-03-02,MMR,,1,1.00
2024-03-03,FJI,,1,2.00
2024-03-01,GNQ,,2,48.00
2024-03-02,CPV,,6,28.00
2024-02-15,CPV,,3,21.00
2024-02-19,RUS,,1,24.00
2024-03-05,FRA,,4,62.00
2024-03-01,TUV,,10,197.00
2024-03-06,KOR,,46,626.00
2024-03-07,COK,,7,125.00
2024-02-14,FRO,,11,90.00
2024-02-07,PAN,,460,7263.00
2024-02-18,SOM,,1,2.00
2024-02-17,CPV,,3,28.00
2024-02-07,KNA,,3,63.00
2024-02-08,DNK,,22,231.00
2024-02-03,COK,,5,57.00
2024-02-17,WLF,,1,2.00
2024-02-20,IND,,6,93.00
2024-02-23,CMR,,3,66.00
2024-02-20,COM,,1,22.00
2024-02-14,SAU,,6,50.00
2024-02-23,ITA,,3,38.00
2024-02-09,MAR,,1,1.00
2024-02-25,GAB,,4,96.00
2024-02-07,CAN,,1,4.00
2024-02-08,BEL,,4,69.00
2024-02-27,KHM,,2,25.00
2024-02-27,TWN,,11,177.00
2024-02-27,SWE,,1,24.00
2024-02-27,KIR,,2,28.00
2024-02-06,GNQ,,2,48.00
2024-02-29,SMR,,1,24.00
2024-02-25,SSD,,1,7.00
2024-02-16,SMR,,1,24.00
2024-02-09,COK,,3,67.00
2024-02-07,GIB,,2,47.00
2024-03-04,VNM,,82,1353.00
2024-03-01,MNG,,11,134.00
2024-03-04,KNA,,3,72.00
2024-03-02,NIU,,3,63.00
2024-03-05,MUS,,1,24.00
2024-02-22,BRA,,1,18.00
2024-02-15,BRB,,3,42.00
2024-02-07,KWT,,1,20.00
2024-02-04,ALB,,1,24.00
2024-02-01,ALB,,1,6.00
2024-02-01,JOR,,1,24.00
2024-02-25,SMR,,1,24.00
2024-02-18,SMR,,1,24.00
2024-02-13,LSO,,1,3.00
2024-03-05,LSO,,1,18.00
2024-03-07,ETH,,1,12.00
2024-03-06,NZL,,3,10.00
2024-03-07,GAB,,3,72.00
2024-02-15,CYM,,8,127.00
2024-02-01,POL,,1,9.00
2024-02-08,JPN,,25,292.00
2024-02-11,BMU,,8,131.00
2024-02-11,GBR,,30,488.00
2024-02-15,BMU,,4,58.00
2024-02-13,DMA,,2,20.00
2024-02-22,BMU,,4,90.00
2024-02-11,BRB,,2,45.00
2024-02-09,DEU,,7,104.00
2024-02-12,KWT,,4,65.00
2024-02-15,LUX,,4,81.00
2024-02-15,PAK,,2,24.00
2024-02-10,RUS,,1,24.00
2024-02-04,KNA,,3,53.00
2024-02-10,MMR,,2,4.00
2024-02-02,MNG,,11,91.00
2024-02-20,LUX,,4,89.00
2024-02-10,FJI,,1,1.00
2024-02-26,PAN,,481,7401.00
2024-02-28,VNM,,61,921.00
2024-02-27,ARE,,2,4.00
2024-02-29,THA,,17,247.00
2024-02-26,KWT,,3,43.00
2024-02-29,GNQ,,3,50.00
2024-02-28,MUS,,1,24.00
2024-02-01,LUX,,4,88.00
2024-02-13,PLW,,5,90.00
2024-02-28,SMR,,1,24.00
2024-02-28,QAT,,1,24.00
2024-02-02,ERI,,2,29.00
2024-02-03,GIB,,2,48.00
2024-03-05,KWT,,4,44.00
2024-02-22,COK,,4,64.00
2024-03-03,NIU,,4,53.00
2024-03-05,TZA,,2,48.00
2024-03-03,POL,,1,9.00
2024-02-25,CPV,,4,20.00
2024-02-20,SMR,,1,24.00
2024-03-05,LIE,,1,22.00
2024-03-07,JPN,,27,377.00
2024-03-06,TUV,,8,154.00
2024-02-03,,,949,6162.00
2024-02-13,IDN,,5539,79829.00
2024-02-24,MDV,,1,5.00
2024-02-14,ESP,,1,9.00
2024-02-06,GRC,,30,426.00
2024-02-08,IRN,,12,168.00
2024-02-14,HRV,,2,40.00
2024-02-18,BMU,,4,75.00
2024-02-13,KNA,,4,82.00
2024-02-21,TZA,,12,161.00
2024-02-10,KWT,,3,52.00
2024-02-06,BRN,,1,10.00
2024-02-19,BEL,,4,53.00
2024-02-23,LKA,,2,22.00
2024-02-26,DEU,,5,69.00
2024-02-27,CHE,,1,1.00
2024-02-29,MNG,,14,194.00
2024-02-28,USA,,10,86.00
2024-02-04,BES,,2,6.00
2024-02-17,BRA,,2,31.00
2024-02-01,NRU,,1,24.00
2024-02-08,TZA,,4,40.00
2024-02-27,FRA,,4,60.00
2024-02-15,LKA,,1,24.00
2024-03-05,SGP,,357,4371.00
2024-03-03,CYM,,6,69.00
2024-03-03,IND,,6,80.00
2024-03-02,DEU,,4,52.00
2024-03-01,HND,,1,16.00
2024-02-05,GAB,,2,40.00
2024-03-05,CMR,,1,6.00
2024-02-16,HRV,,1,24.00
2024-02-06,LSO,,1,15.00
2024-03-02,BRA,,1,19.00
2024-03-07,GNQ,,2,48.00
2024-03-08,ITA,,4,31.00
2024-03-08,NOR,,13,209.00
2024-02-08,BMU,,6,83.00
2024-02-11,ESP,,1,5.00
2024-02-19,CHN,,138,2397.00
2024-02-23,CPV,,5,20.00
2024-02-12,GBR,,25,434.00
2024-02-07,VUT,,2,42.00
2024-02-25,GRC,,24,383.00
2024-02-25,BGD,,16,275.00
2024-02-07,NOR,,8,114.00
2024-02-02,NIU,,4,66.00
2024-02-07,SAU,,6,70.00
2024-02-01,FRA,,1,10.00
2024-02-19,ESP,,1,24.00
2024-02-28,SWE,,2,31.00
2024-02-28,ALB,,2,19.00
2024-02-21,GNQ,,2,48.00
2024-02-20,GNQ,,2,48.00
2024-02-15,NRU,,1,24.00
2024-02-10,NRU,,1,24.00
2024-02-18,PLW,,5,99.00
2024-02-12,VUT,,1,24.00
2024-02-02,GIB,,2,48.00
2024-03-02,TWN,,15,201.00
2024-03-03,ETH,,1,19.00
2024-03-04,AUS,,8,65.00
2024-02-25,ERI,,1,24.00
2024-03-02,SLE,,13,142.00
2024-03-01,ARE,,1,1.00
2024-03-02,ARE,,1,3.00
2024-02-14,GIB,,1,24.00
2024-02-25,ALB,,1,24.00
2024-02-17,KWT,,2,35.00
2024-02-18,KWT,,3,39.00
2024-03-07,CHE,,1,13.00
2024-03-06,FRA,,4,32.00
2024-03-06,SYC,,2,11.00
2024-03-06,LSO,,1,13.00
2024-03-07,SWE,,2,10.00
2024-02-18,,,1019,5274.00
2024-02-17,,,932,5562.00
2024-02-19,SOM,,1,1.00
2024-02-15,HKG,,202,3255.00
2024-02-13,THA,,23,276.00
2024-02-10,BMU,,8,101.00
2024-02-14,KOR,,36,550.00
2024-02-10,SWE,,3,55.00
2024-02-03,EGY,,3,3.00
2024-02-01,DNK,,21,298.00
2024-02-01,MMR,,1,12.00
2024-02-21,DMA,,2,12.00
2024-02-22,IRN,,9,97.00
2024-02-02,CMR,,5,41.00
2024-02-20,CYM,,10,163.00
2024-02-12,BRB,,3,32.00
2024-02-20,CMR,,1,9.00
2024-02-01,COM,,1,18.00
2024-02-23,IND,,7,85.00
2024-02-20,TZA,,8,120.00
2024-02-12,WLF,,1,11.00
2024-02-25,KHM,,2,27.00
2024-02-01,BEL,,2,35.00
2024-02-11,STP,,2,24.00
2024-02-20,PNG,,1,10.00
2024-02-10,DMA,,1,3.00
2024-02-01,KNA,,2,47.00
2024-02-22,NRU,,1,24.00
2024-02-23,NRU,,1,24.00
2024-02-25,SWE,,1,24.00
2024-02-19,LIE,,1,3.00
2024-03-01,PAK,,1,1.00
2024-03-03,GIB,,1,24.00
2024-02-19,CAF,,1,8.00
2024-02-12,PCN,,1,16.00
2024-02-02,ITA,,3,51.00
2024-02-25,JOR,,1,24.00
2024-03-02,PLW,,6,104.00
2024-03-01,SMR,,1,24.00
2024-03-07,BRA,,1,5.00
2024-03-07,CMR,,1,11.00
2024-03-07,TGO,,1,24.00
2024-03-08,PAK,,1,9.00
2024-03-08,SWE,,2,7.00
2024-03-08,TUV,,7,130.00
2024-02-06,LBR,,338,5100.00
2024-02-25,MYS,,100,1266.00
2024-02-22,KOR,,24,366.00
2024-02-07,JPN,,25,382.00
2024-02-09,FRA,,4,31.00
2024-02-15,KIR,,2,46.00
2024-02-10,THA,,18,245.00
2024-02-24,SLE,,9,140.00
2024-02-11,DJI,,1,6.00
2024-02-16,SLE,,8,91.00
2024-02-23,NIU,,6,87.00
2024-02-19,PHL,,8,114.00
2024-02-23,CYM,,11,157.00
2024-02-12,TZA,,6,45.00
2024-02-12,CMR,,4,34.00
2024-02-13,BRN,,1,4.00
2024-02-11,SMR,,1,24.00
2024-02-28,GNQ,,2,48.00
2024-02-26,JOR,,1,24.00
2024-02-19,DMA,,1,2.00
2024-02-02,LUX,,5,101.00
2024-02-11,GIB,,3,60.00
2024-03-05,KOR,,40,637.00
2024-03-05,MNG,,10,125.00
2024-03-02,KIR,,2,39.00
2024-03-01,MUS,,1,24.00
2024-02-13,ALB,,1,24.00
2024-02-19,IRQ,,1,4.00
2024-02-25,FJI,,2,22.00
2024-02-15,RUS,,1,24.00
2024-02-23,LSO,,1,12.00
2024-02-11,LSO,,1,5.00
2024-03-07,FJI,,3,14.00
2024-03-08,BEL,,3,45.00
2024-02-24,SGP,,294,4089.00
2024-02-22,BHS,,40,543.00
2024-02-04,TUR,,1,24.00
2024-02-17,ATG,,3,37.00
2024-02-12,IRN,,8,101.00
2024-02-03,CMR,,4,39.00
2024-02-08,BRN,,2,9.00
2024-02-16,MMR,,1,6.00
2024-02-06,SWE,,1,22.00
2024-02-12,TUR,,1,20.00
2024-02-03,PLW,,8,157.00
2024-02-12,SMR,,1,24.00
2024-02-26,MLT,,75,1217.00
2024-02-28,SGP,,280,3786.00
2024-02-26,NLD,,14,246.00
2024-02-27,SLE,,12,155.00
2024-02-26,SLE,,11,108.00
2024-02-29,IRN,,8,77.00
2024-02-26,FRA,,4,36.00
2024-02-28,ETH,,1,13.00
2024-02-28,GNB,,1,2.00
2024-02-28,MDV,,1,11.00
2024-02-11,GNB,,2,2.00
2024-02-17,MUS,,1,24.00
2024-02-06,NIU,,2,48.00
2024-02-15,VUT,,1,24.00
2024-03-04,PNG,,1,1.00
2024-03-04,BRN,,1,1.00
2024-03-05,KNA,,3,72.00
2024-03-04,GUY,,1,7.00
2024-03-01,JOR,,2,34.00
2024-02-21,RUS,,1,24.00
2024-02-04,JOR,,1,24.00
2024-03-01,LKA,,1,24.00
2024-03-06,PRT,,23,346.00
2024-03-08,COK,,9,122.00
2024-02-01,PSE,,1,20.00
2024-02-04,POL,,1,6.00
2024-02-22,CPV,,5,18.00
2024-02-25,NLD,,12,257.00
2024-02-13,CMR,,4,46.00
2024-02-24,MNG,,10,188.00
2024-02-24,ATG,,6,99.00
2024-02-20,NOR,,12,240.00
2024-02-09,GAB,,4,78.00
2024-02-02,TUR,,1,24.00
2024-02-25,CMR,,2,43.00
2024-02-22,COM,,1,12.00
2024-02-15,GAB,,4,77.00
2024-02-08,STP,,1,18.00
2024-02-04,BRN,,1,2.00
2024-02-24,ETH,,1,22.00
2024-02-09,MMR,,1,1.00
2024-02-26,VUT,,2,29.00
2024-02-17,LKA,,1,24.00
2024-02-04,KIR,,2,31.00
2024-03-05,ZAF,,1,11.00
2024-03-04,KWT,,3,27.00
2024-03-04,BRB,,3,69.00
2024-03-02,TZA,,6,87.00
2024-03-05,NIU,,5,52.00
2024-03-01,NPL,,1,15.00
2024-02-06,AUS,,10,111.00
2024-02-18,MNE,,1,24.00
2024-02-13,JOR,,1,24.00
2024-02-01,VUT,,1,22.00
2024-02-01,KWT,,3,48.00
2024-02-18,ALB,,1,24.00
2024-02-02,JOR,,1,24.00
2024-02-01,NZL,,3,32.00
2024-03-01,KIR,,1,24.00
2024-03-02,SMR,,1,24.00
2024-03-06,NPL,,1,12.00
2024-03-06,PAK,,1,2.00
2024-03-06,LUX,,4,73.00
2024-03-08,SGP,,322,4579.00
2024-02-07,FRO,,11,71.00
2024-02-17,ESP,,2,27.00
2024-02-07,ESP,,2,10.00
2024-02-12,GRC,,19,350.00
2024-02-21,JPN,,30,448.00
2024-02-01,BGD,,18,240.00
2024-02-24,GNB,,1,2.00
2024-02-09,GRC,,20,316.00
2024-02-10,DNK,,14,150.00
2024-02-11,SLE,,9,130.00
2024-02-11,SWE,,2,17.00
2024-02-04,SAU,,5,69.00
2024-02-16,STP,,1,1.00
2024-02-19,PNG,,1,19.00
2024-02-14,CMR,,3,28.00
2024-02-12,MDV,,1,2.00
2024-02-09,RUS,,1,7.00
2024-02-18,TUV,,12,153.00
2024-02-19,ETH,,1,18.00
2024-02-10,QAT,,1,20.00
2024-02-28,ARE,,1,2.00
2024-02-29,TGO,,3,30.00
2024-02-26,SOM,,1,1.00
2024-02-26,TUR,,1,21.00
2024-02-17,DEU,,2,25.00
2024-02-22,MUS,,1,23.00
2024-03-04,CYM,,6,110.00
2024-03-04,DJI,,1,10.00
2024-02-25,BRA,,1,6.00
2024-02-22,SMR,,1,24.00
2024-02-07,ALB,,1,24.00
2024-02-14,PCN,,1,8.00
2024-03-05,ERI,,1,24.00
2024-03-07,MYS,,89,976.00
2024-03-06,ERI,,1,24.00
2024-03-08,MNG,,13,164.00
2024-02-10,,,845,5597.00
2024-02-17,CYP,,32,445.00
2024-02-03,ESP,,1,18.00
2024-02-19,NLD,,13,238.00
2024-02-09,BGD,,11,210.00
2024-02-11,CYM,,11,142.00
2024-02-12,PNG,,1,20.00
2024-02-21,AUS,,7,61.00
2024-02-11,GUY,,1,17.00
2024-02-02,KWT,,4,35.00
2024-02-27,CMR,,2,32.00
2024-02-26,SAU,,3,29.00
2024-02-06,DMA,,1,5.00
2024-02-19,KNA,,3,53.00
2024-02-12,MNP,,1,24.00
2024-02-04,GIB,,2,47.00
2024-03-03,KWT,,2,32.00
2024-03-02,MDV,,1,12.00
2024-03-04,FRO,,11,72.00
2024-03-01,CHE,,1,24.00
2024-02-19,ALB,,1,23.00
2024-02-16,LSO,,1,5.00
2024-03-07,ATG,,4,82.00
2024-03-06,GUY,,1,15.00
2024-03-08,ATG,,7,45.00
2024-02-01,IDN,,5665,76811.00
2024-02-25,MDV,,1,4.00
2024-02-19,SGP,,307,4442.00
2024-02-14,KIR,,2,34.00
2024-02-01,ATG,,11,210.00
2024-02-17,THA,,21,292.00
2024-02-09,MAC,,1,1.00
2024-02-12,NLD,,16,260.00
2024-02-10,LVA,,1,10.00
2024-02-12,SYC,,1,4.00
2024-02-29,GBR,,28,352.00
2024-02-26,CYP,,36,549.00
2024-02-28,NPL,,1,11.00
2024-02-01,GNQ,,3,50.00
2024-02-24,MNP,,1,1.00
2024-02-06,PLW,,6,112.00
2024-02-23,VUT,,2,46.00
2024-03-05,USA,,7,78.00
2024-03-04,GRC,,35,512.00
2024-03-03,CMR,,5,51.00
2024-02-13,POL,,1,7.00
2024-02-11,JOR,,1,24.00
2024-02-02,LSO,,1,17.00
2024-03-04,SOM,,1,5.00
2024-03-07,BLZ,,25,444.00
2024-03-07,TWN,,16,199.00
2024-03-06,SLE,,11,149.00
2024-03-07,TZA,,6,64.00
2024-02-22,MDV,,1,10.00
2024-02-18,MDV,,1,10.00
2024-02-19,KOR,,31,480.00
2024-02-18,BEL,,4,52.00
2024-02-12,NZL,,1,1.00
2024-02-04,DNK,,21,230.00
2024-02-12,VNM,,65,1150.00
2024-02-14,TZA,,11,151.00
2024-02-07,TGO,,2,26.00
2024-02-16,PNG,,1,16.00
2024-02-14,AUS,,6,73.00
2024-02-09,COM,,1,6.00
2024-02-17,ITA,,2,13.00
2024-02-08,KAZ,,1,2.00
2024-02-06,KWT,,2,40.00
2024-02-03,FJI,,1,2.00
2024-02-22,PNG,,1,12.00
2024-02-21,PNG,,1,8.00
2024-02-28,KIR,,2,26.00
2024-02-17,GNQ,,2,48.00
2024-02-11,MUS,,1,24.00
2024-02-05,MUS,,2,25.00
2024-02-09,MUS,,1,24.00
2024-02-06,NRU,,1,24.00
2024-02-24,VUT,,2,42.00
2024-02-24,ERI,,1,24.00
2024-02-07,ERI,,1,24.00
2024-03-01,FRA,,4,48.00
2024-03-01,ITA,,2,31.00
2024-03-01,BLZ,,25,453.00
2024-03-05,SYC,,1,13.00
2024-02-04,BRA,,1,7.00
2024-02-12,JOR,,1,24.00
2024-02-07,LSO,,1,17.00
2024-02-17,LSO,,1,17.00
2024-02-21,JOR,,1,24.00
2024-03-07,GRC,,26,437.00
2024-03-03,TGO,,2,25.00
2024-03-05,TGO,,1,24.00
2024-03-07,ITA,,3,41.00
2024-03-06,CAN,,1,4.00
2024-03-07,MUS,,1,24.00
2024-02-18,HKG,,207,3222.00
2024-02-19,MLT,,75,1108.00
2024-02-20,SOM,,1,4.00
2024-02-11,HKG,,180,2744.00
2024-02-19,BMU,,5,58.00
2024-02-05,SGP,,337,4711.00
2024-02-08,ESP,,1,8.00
2024-02-09,ESP,,1,3.00
2024-02-18,AUS,,7,52.00
2024-02-11,MYS,,95,1185.00
2024-02-17,MYS,,86,1131.00
2024-02-04,BMU,,5,78.00
2024-02-25,IND,,5,64.00
2024-02-08,KWT,,3,20.00
2024-02-08,PLW,,7,127.00
2024-02-20,MNP,,1,11.00
2024-02-08,FJI,,1,19.00
2024-02-07,SMR,,1,24.00
2024-02-28,CMR,,3,13.00
2024-02-28,ATG,,7,106.00
2024-02-27,TZA,,7,68.00
2024-02-28,NIU,,4,71.00
2024-02-26,RUS,,1,15.00
2024-02-29,POL,,1,5.00
2024-02-09,DMA,,1,2.00
2024-02-14,SMR,,1,23.00
2024-02-29,QAT,,1,24.00
2024-02-09,EGY,,1,14.00
2024-02-17,KNA,,3,65.00
2024-03-03,MHL,,219,3452.00
2024-03-04,KOR,,39,563.00
2024-02-17,ERI,,2,38.00
2024-02-01,BRA,,1,9.00
2024-02-20,BRA,,1,11.00
2024-02-05,VUT,,1,24.00
2024-02-22,FJI,,1,10.00
2024-02-24,SMR,,1,24.00
2024-03-01,TUR,,1,22.00
2024-03-02,GIB,,1,24.00
2024-03-06,CPV,,9,102.00
2024-03-06,IRN,,10,132.00
2024-02-07,PRT,,18,247.00
2024-02-18,NPL,,1,1.00
2024-02-04,PNG,,1,23.00
2024-02-20,CHN,,148,2567.00
2024-02-10,BLZ,,31,493.00
2024-02-24,SAU,,4,54.00
2024-02-06,CYM,,10,178.00
2024-02-02,DEU,,3,39.00
2024-02-09,DJI,,1,23.00
2024-02-11,PLW,,9,138.00
2024-02-13,TGO,,1,16.00
2024-02-09,USA,,9,93.00
2024-02-23,BRN,,2,27.00
2024-02-15,DEU,,5,49.00
2024-02-02,ETH,,1,8.00
2024-02-19,MNE,,1,22.00
2024-02-28,BMU,,10,153.00
2024-02-28,SLE,,15,161.00
2024-02-29,CHE,,1,24.00
2024-02-26,CAF,,1,6.00
2024-02-29,KHM,,1,2.00
2024-02-22,GNQ,,2,48.00
2024-02-10,NPL,,1,2.00
2024-02-20,NRU,,1,24.00
2024-02-04,TGO,,1,8.00
2024-02-19,ITA,,1,15.00
2024-02-21,ERI,,1,24.00
2024-03-04,RUS,,1,16.00
2024-02-15,QAT,,1,19.00
2024-03-01,PHL,,12,179.00
2024-03-02,HND,,1,21.00
2024-03-05,DJI,,1,2.00
2024-03-05,MNP,,2,25.00
2024-03-05,MDV,,1,8.00
2024-02-23,BRA,,1,14.00
2024-02-09,LSO,,1,14.00
2024-03-06,MDV,,1,10.00
2024-03-06,GNQ,,2,48.00
2024-03-06,SWE,,1,5.00
2024-03-08,BRN,,1,8.00
2024-02-15,FRO,,12,95.00
2024-02-11,SGP,,307,4209.00
2024-02-18,PRT,,30,459.00
2024-02-21,FRO,,9,51.00
2024-02-22,SGP,,304,4514.00
2024-02-10,KOR,,34,439.00
2024-02-12,SGP,,303,4190.00
2024-02-10,ESP,,1,6.00
2024-02-21,CPV,,4,20.00
2024-02-14,TWN,,16,224.00
2024-02-19,TGO,,3,39.00
2024-02-13,STP,,2,6.00
2024-02-09,VCT,,4,65.00
2024-02-28,GBR,,26,365.00
2024-02-29,IDN,,5596,75202.00
2024-02-27,BGD,,15,162.00
2024-02-29,STP,,2,43.00
2024-02-29,FRA,,2,21.00
2024-02-10,GNB,,2,2.00
2024-02-12,MUS,,1,24.00
2024-02-13,NRU,,1,24.00
2024-02-11,NRU,,1,24.00
2024-02-23,USA,,6,86.00
2024-03-05,ITA,,2,45.00
2024-03-02,MUS,,1,24.00
2024-02-21,BRA,,1,13.00
2024-02-03,BRA,,1,12.00
2024-02-02,VUT,,1,23.00
2024-03-04,ALB,,1,8.00
2024-03-06,MNP,,1,7.00
