Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
2024-02-12,MYS,trawlers,2,24.14
2024-02-25,MYS,trawlers,1,23.72
2024-02-22,MYS,trawlers,1,21.05
2024-02-01,MYS,trawlers,1,12.08
2024-02-11,SYC,drifting_longlines,1,10.97
2024-02-10,NOR,trawlers,1,25.10
2024-02-15,NOR,trawlers,1,19.09
2024-02-05,IDN,pole_and_line,3,37.16
2024-02-27,IDN,other_seines,2,49.93
2024-02-14,IDN,squid_jigger,1,26.21
2024-02-18,IDN,squid_jigger,2,14.76
2024-02-02,MHL,tuna_purse_seines,1,23.55
2024-02-19,IDN,pole_and_line,1,33.24
2024-02-20,IDN,pole_and_line,1,24.04
2024-02-10,IDN,other_seines,1,23.93
2024-02-10,IDN,trollers,1,24.13
2024-02-14,IDN,trollers,2,20.33
2024-02-24,IDN,squid_jigger,1,3.45
2024-02-27,IDN,squid_jigger,2,29.89
2024-02-10,TWN,fishing,1,18.05
2024-02-18,PAN,fishing,2,25.06
2024-02-16,MNG,fishing,1,11.47
2024-02-19,LBR,dredge_fishing,1,17.01
2024-02-23,TWN,drifting_longlines,2,47.82
2024-02-11,SGP,trollers,2,3.01
2024-02-04,LBR,pole_and_line,1,2.97
2024-02-22,NOR,set_longlines,1,16.01
2024-02-05,LBR,other_purse_seines,1,2.00
2024-02-28,JPN,set_longlines,1,15.06
2024-02-05,PAN,pole_and_line,1,24.01
2024-02-24,PAN,fishing,1,1.77
2024-02-15,DNK,fishing,1,15.95
2024-02-23,MNG,trawlers,1,2.99
2024-02-08,MNG,trawlers,1,2.00
2024-02-27,IDN,set_gillnets,2,17.45
2024-02-23,JPN,set_longlines,1,5.00
2024-03-02,MNG,fishing,1,24.01
2024-03-04,LBR,fishing,1,10.30
2024-03-03,PAN,pole_and_line,1,24.00
2024-03-01,MNG,trawlers,1,3.01
2024-03-07,TUV,pole_and_line,1,24.17
2024-03-01,LBR,set_longlines,1,16.06
2024-03-08,IDN,other_seines,3,71.83
2024-03-08,PAN,pole_and_line,1,25.28
2024-03-04,IDN,squid_jigger,2,37.88
2024-03-04,IDN,set_gillnets,1,11.90
2024-03-04,JPN,set_longlines,1,8.95
2024-03-07,PAN,pole_and_line,1,24.40
2024-02-20,NOR,set_longlines,1,20.01
2024-02-11,TWN,drifting_longlines,1,0.24
2024-02-28,PAN,pots_and_traps,1,21.01
2024-02-04,PAN,pole_and_line,1,1.06
2024-02-02,PAN,fishing,1,5.96
2024-02-24,DNK,fishing,1,24.00
2024-02-29,TUV,pole_and_line,1,24.06
2024-02-06,IDN,other_seines,1,3.87
2024-02-13,PAN,fishing,1,21.02
2024-02-14,JPN,set_longlines,1,24.06
2024-02-27,LBR,tuna_purse_seines,1,24.21
2024-02-02,JPN,drifting_longlines,1,22.22
2024-02-18,MNG,fishing,1,20.95
2024-02-21,NOR,set_longlines,1,12.34
2024-02-12,SGP,other_purse_seines,1,2.88
2024-03-06,MYS,trawlers,1,3.60
2024-03-05,PAN,pole_and_line,1,17.04
2024-03-03,LBR,set_longlines,1,23.34
2024-03-08,SGP,other_seines,1,24.00
2024-03-07,IDN,pots_and_traps,1,19.09
2024-02-27,BEL,other_seines,1,18.00
2024-02-08,NOR,trawlers,1,14.00
