Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
2024-02-16,IDN,other_seines,1,24.21
2024-02-17,IDN,other_seines,1,23.57
2024-02-12,IDN,other_seines,1,24.21
2024-02-17,IDN,trawlers,15,284.26
2024-02-15,IDN,fishing,12,214.87
2024-02-11,JPN,set_longlines,1,24.46
2024-02-29,JPN,set_longlines,1,24.11
2024-02-11,JPN,drifting_longlines,1,5.90
2024-02-18,JPN,drifting_longlines,2,48.06
2024-02-17,JPN,drifting_longlines,3,71.12
2024-02-20,JPN,drifting_longlines,1,23.81
2024-02-08,IDN,squid_jigger,4,37.63
2024-02-02,IDN,squid_jigger,8,103.96
2024-02-29,IDN,set_longlines,8,153.94
2024-02-01,IDN,drifting_longlines,5,80.45
2024-02-08,LBR,tuna_purse_seines,2,29.52
2024-02-02,IDN,fishing,12,225.24
2024-02-08,IDN,set_longlines,5,118.45
2024-02-26,IDN,trawlers,14,290.13
2024-02-26,IDN,set_longlines,3,49.69
2024-02-02,SGP,other_purse_seines,1,21.17
2024-02-01,SGP,other_purse_seines,1,15.47
2024-02-07,IDN,drifting_longlines,6,91.46
2024-02-21,IDN,drifting_longlines,9,179.67
2024-02-15,IDN,trawlers,14,282.66
2024-02-03,IDN,trawlers,10,197.22
2024-02-01,IDN,trollers,1,13.40
2024-02-06,IDN,other_purse_seines,1,24.03
2024-02-02,IDN,other_purse_seines,1,23.43
2024-02-12,IDN,other_purse_seines,3,76.56
2024-02-08,IDN,other_purse_seines,2,47.50
2024-02-22,IDN,fishing,16,262.63
2024-02-17,IDN,purse_seines,3,59.35
2024-02-08,LBR,dredge_fishing,1,23.93
2024-02-29,IDN,other_purse_seines,2,32.84
2024-02-10,IDN,other_purse_seines,1,25.01
2024-02-03,IDN,other_purse_seines,1,24.02
2024-02-04,IDN,purse_seines,12,167.10
2024-02-06,IDN,purse_seines,8,187.88
2024-02-11,IDN,fishing,15,297.91
2024-02-27,IDN,fishing,16,248.53
2024-02-21,JPN,drifting_longlines,2,46.36
2024-02-19,JPN,drifting_longlines,1,24.08
2024-02-20,IDN,trawlers,11,172.88
2024-02-26,IDN,purse_seines,10,149.89
2024-02-23,JPN,drifting_longlines,3,43.40
2024-02-28,JPN,drifting_longlines,1,24.12
2024-02-28,IDN,set_longlines,2,44.57
2024-02-03,PAN,pole_and_line,1,8.30
2024-02-01,JPN,drifting_longlines,2,47.52
